拍卖时间,投放数量,最低成交价,平均成交价,最低成交价截止时间,投标人数
2015年1月,7990,74000,74216,11:02:48 第2位,98203
2015年2月,7653,76500,76618,11:29:49 第73位,103224
2015年3月,7406,74600,74830,11:20:16 第6位,132690
2015年4月,8288,80600,80759,11:29:41 第115位,152298
2015年5月,7482,79000,79099,11:29:53 第20位,156007
2015年6月,7441,80000,80020,11:29:59 第512位,172205
2015年7月,7531,83100,83171,11:29:55 第670位,166302
2015年8月,7454,82600,82642,11:29:58 第949位,166939
2015年9月,8727,82100,82172,11:29:58 第540位,165765
2015年10月,7763,85300,85424,11:29:52 第72位,170995
2015年11月,7514,84600,84703,11:29:56 第889位,169159
2015年12月,7698,84500,84572,11:29:57 第867位,179133
